"","date","cases","cum_sum"
"1",2020-01-22,0,0
"2",2020-01-23,0,0
"3",2020-01-24,0,0
"4",2020-01-25,0,0
"5",2020-01-26,0,0
"6",2020-01-27,0,0
"7",2020-01-28,0,0
"8",2020-01-29,0,0
"9",2020-01-30,0,0
"10",2020-01-31,0,0
"11",2020-02-01,0,0
"12",2020-02-02,0,0
"13",2020-02-03,0,0
"14",2020-02-04,0,0
"15",2020-02-05,0,0
"16",2020-02-06,0,0
"17",2020-02-07,0,0
"18",2020-02-08,0,0
"19",2020-02-09,0,0
"20",2020-02-10,0,0
"21",2020-02-11,0,0
"22",2020-02-12,0,0
"23",2020-02-13,0,0
"24",2020-02-14,0,0
"25",2020-02-15,0,0
"26",2020-02-16,0,0
"27",2020-02-17,0,0
"28",2020-02-18,0,0
"29",2020-02-19,0,0
"30",2020-02-20,0,0
"31",2020-02-21,0,0
"32",2020-02-22,0,0
"33",2020-02-23,0,0
"34",2020-02-24,0,0
"35",2020-02-25,0,0
"36",2020-02-26,0,0
"37",2020-02-27,0,0
"38",2020-02-28,0,0
"39",2020-02-29,1,1
"40",2020-03-01,0,1
"41",2020-03-02,0,1
"42",2020-03-03,1,2
"43",2020-03-04,4,6
"44",2020-03-05,0,6
"45",2020-03-06,12,18
"46",2020-03-07,0,18
"47",2020-03-08,1,19
"48",2020-03-09,2,21
"49",2020-03-10,13,34
"50",2020-03-11,9,43
"51",2020-03-12,0,43
"52",2020-03-13,47,90
"53",2020-03-14,39,129
"54",2020-03-15,0,129
"55",2020-03-16,40,169
"56",2020-03-17,54,223
"57",2020-03-18,69,292
"58",2020-03-19,265,557
"59",2020-03-20,126,683
"60",2020-03-21,102,785
"61",2020-03-22,121,906
"62",2020-03-23,219,1125
"63",2020-03-24,204,1329
"64",2020-03-25,235,1564
"65",2020-03-26,255,1819
"66",2020-03-27,302,2121
"67",2020-03-28,294,2415
"68",2020-03-29,200,2615
"69",2020-03-30,295,2910
"70",2020-03-31,325,3235
"71",2020-04-01,212,3447
"72",2020-04-02,402,3849
"73",2020-04-03,424,4273
"74",2020-04-04,331,4604
"75",2020-04-05,390,4994
"76",2020-04-06,370,5364
"77",2020-04-07,345,5709
"78",2020-04-08,365,6074
"79",2020-04-09,500,6574
"80",2020-04-10,1515,8089
"81",2020-04-11,839,8928
"82",2020-04-12,727,9655
"83",2020-04-13,992,10647
"84",2020-04-14,832,11479
"85",2020-04-15,1068,12547
"86",2020-04-16,724,13271
"87",2020-04-17,709,13980
"88",2020-04-18,778,14758
"89",2020-04-19,493,15251
"90",2020-04-20,401,15652
"91",2020-04-21,388,16040
"92",2020-04-22,631,16671
"93",2020-04-23,936,17607
"94",2020-04-24,577,18184
"95",2020-04-25,377,18561
"96",2020-04-26,701,19262
"97",2020-04-27,386,19648
"98",2020-04-28,229,19877
"99",2020-04-29,376,20253
"100",2020-04-30,359,20612
"101",2020-05-01,221,20833
"102",2020-05-02,343,21176
"103",2020-05-03,330,21506
"104",2020-05-04,266,21772
"105",2020-05-05,211,21983
"106",2020-05-06,265,22248
"107",2020-05-07,137,22385
"108",2020-05-08,156,22541
"109",2020-05-09,219,22760
"110",2020-05-10,236,22996
"111",2020-05-11,139,23135
"112",2020-05-12,107,23242
"113",2020-05-13,159,23401
"114",2020-05-14,426,23827
"115",2020-05-15,129,23956
"116",2020-05-16,92,24048
"117",2020-05-17,64,24112
"118",2020-05-18,88,24200
"119",2020-05-19,51,24251
"120",2020-05-20,64,24315
"121",2020-05-21,76,24391
"122",2020-05-22,115,24506
"123",2020-05-23,76,24582
"124",2020-05-24,57,24639
"125",2020-05-25,59,24698
"126",2020-05-26,37,24735
"127",2020-05-27,68,24803
"128",2020-05-28,38,24841
"129",2020-05-29,35,24876
"130",2020-05-30,53,24929
"131",2020-05-31,61,24990
"132",2020-06-01,72,25062
"133",2020-06-02,4,25066
"134",2020-06-03,45,25111
"135",2020-06-04,31,25142
"136",2020-06-05,21,25163
"137",2020-06-06,20,25183
"138",2020-06-07,18,25201
"139",2020-06-08,6,25207
"140",2020-06-09,8,25215
"141",2020-06-10,16,25231
"142",2020-06-11,7,25238
"143",2020-06-12,12,25250
"144",2020-06-13,45,25295
"145",2020-06-14,8,25303
"146",2020-06-15,18,25321
"147",2020-06-16,13,25334
"148",2020-06-17,7,25341
"149",2020-06-18,14,25355
"150",2020-06-19,13,25368
"151",2020-06-20,6,25374
"152",2020-06-21,5,25379
"153",2020-06-22,4,25383
"154",2020-06-23,8,25391
"155",2020-06-24,5,25396
"156",2020-06-25,9,25405
"157",2020-06-26,9,25414
"158",2020-06-27,23,25437
"159",2020-06-28,2,25439
"160",2020-06-29,23,25462
"161",2020-06-30,11,25473
"162",2020-07-01,4,25477
"163",2020-07-02,12,25489
"164",2020-07-03,9,25498
"165",2020-07-04,11,25509
"166",2020-07-05,18,25527
"167",2020-07-06,4,25531
"168",2020-07-07,7,25538
"169",2020-07-08,4,25542
"170",2020-07-09,23,25565
"171",2020-07-10,24,25589
"172",2020-07-11,22,25611
"173",2020-07-12,17,25628
"174",2020-07-13,10,25638
"175",2020-07-14,32,25670
"176",2020-07-15,13,25683
"177",2020-07-16,15,25698
"178",2020-07-17,32,25730
"179",2020-07-18,20,25750
"180",2020-07-19,10,25760
"181",2020-07-20,6,25766
"182",2020-07-21,36,25802
"183",2020-07-22,17,25819
"184",2020-07-23,7,25826
"185",2020-07-24,19,25845
"186",2020-07-25,24,25869
"187",2020-07-26,12,25881
"188",2020-07-27,11,25892
"189",2020-07-28,37,25929
"190",2020-07-29,13,25942
"191",2020-07-30,85,26027
"192",2020-07-31,38,26065
"193",2020-08-01,44,26109
"194",2020-08-02,53,26162
"195",2020-08-03,46,26208
"196",2020-08-04,45,26253
"197",2020-08-05,50,26303
"198",2020-08-06,69,26372
"199",2020-08-07,98,26470
"200",2020-08-08,174,26644
"201",2020-08-09,68,26712
"202",2020-08-10,56,26768
"203",2020-08-11,33,26801
"204",2020-08-12,37,26838
"205",2020-08-13,91,26929
"206",2020-08-14,66,26995
"207",2020-08-15,196,27191
"208",2020-08-16,66,27257
"209",2020-08-17,56,27313
"210",2020-08-18,186,27499
"211",2020-08-19,48,27547
"212",2020-08-20,129,27676
"213",2020-08-21,79,27755
"214",2020-08-22,153,27908
"215",2020-08-23,61,27969
"216",2020-08-24,147,28116
"217",2020-08-25,85,28201
"218",2020-08-26,162,28363
"219",2020-08-27,90,28453
"220",2020-08-28,125,28578
